jenis,kategori,jenis_kulit,merk,nama_product,link_gambar,nama_gambar,key_ingredients,ingredients,deskripsi,no_BPOM,hamil_menyusui,kondisi_kulit,sensitif,tujuan,kegunaan,fungsi
Cleanser,Toner,Kering,Viva Cosmetics ,Air Mawar,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1630998319_307543_1_800x800.jpg,vivacosmetics_airmawar,,"Aqua, Ethanol, Methylparaben, Rose Extract, Propylene Glycol, Perfume, PEG-40 Hydrogenated Castor Oil",Air Mawar mengandung sari bunga mawar dan aroma bunga mawar yang menenangkan,NA18121202046,Ya,,b,a,"Melembabkan kulit, Menyegarkan kulit, Anti-inflamasi, Anti-aging.","a,b"
Cleanser,Toner,Kering,Whitelab,Brightening Toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1670311230_BRIGHTENIN_800x800.jpg,whitelab_brighteningtoner,,"Aqua, Ethyl Alcohol, Propylene Glycol, Glycerin, Licorice Glycyrrhiza Glabra Extract, Niacinamide, PEG-7 Glyceryl Cocoate, Glycolic Acid, PEG-40 Hydrogenated Castor Oil, Allantoin, Collagen, Parfum, Tetrasodium EDTA, Phenoxyethanol","Whitelab Brightening Toner adalah toner yang bermanfaat untuk melembabkan, membersihkan kotoran, mengangkat minyak berlebih, dan menyegarkan kulit.",NA18221205551,Ya,,b,a,"Mencerahkan kulit, Mengangkat sisa kotoran di wajah, Mengontrol produksi minyak berlebihan, Menyegarkan wajah.","d,e"
Cleanser,Toner,Kering,NPURE,Marigold Clearings Petal Toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1679482392_PDP_TEMPLA_800x800.jpg,npure_marigoldclearingspetaltoner,"Anti-acne: Niacinamide
Cell-communicating ingredient: Niacinamide
Exfoliant: Glycolic Acid
Skin brightening: Licorice Glycyrrhiza Glabra Extract, Niacinamide
Skin-identical ingredient: Glycerin
Soothing: Licorice Glycyrrhiza Glabra Extract, Allantoin","Aqua, Glycerin, Lactic Acid, Tromethamine, Propylene Glycol, Niacinamide, Butylene Glycol, Fructooligosaccharides, Beta Vulgaris Root Extract, Allantoin, Aloe Barbadensis Leaf Extract, Maltodextrin, Calcium Pantothenate, Urea, Caprylyl Glycol, Magnesium Lactate, Potassium Lactate, Papain, Ethylhexylglycerin, Panthenol, Biotin, Folic Acid, Ascorbic Acid, Tocopherol, Retinyl Palmitate, Pyridoxine HCl, Arachis Hypogaea Oil, Calendula Officinalis Flower Extract, Proline, Alanine, Serine, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Disodium EDTA, Calendula Officinalis Flower, Xanthan Gum, Sodium Citrate, Hydroxypropyl Cyclodextrin, Citric Acid, Cyanocobalamin, 7-Dehydrocholesterol, Lecithin, Acetyl Glutamine, sh-oligopeptide-1, sh-oligopeptide-2, sh-polypeptide-1, sh-polypeptide-9, sh-polypeptide-11, Bacillus/Soybean/Folic Acid Ferment Extract, Sodium Hyaluronate, 1,2-hexanediol, Fragrance (Parfum) Components and Finished Fragrances.",Toner dengan kelopak bunga Marigold asli yang mengandung Papain sebagai Natural Enzymatic Exfoliator untuk mengangkat sel kulit mati dan membantu proses regenerasi kulit.,NA18221202239,Tidak,,b,a,"Menutrisi kulit, Mencegah penuaan dini, Melindungi kulit dari radikal bebas, Menghaluskan, dan Mencerahkan kulit","a,c,d"
Cleanser,Makeup Remover,Kering,Somethinc,Reset Gentle Micellar Cleansing Water,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1628660154_Copy_of_mi_800x800.jpg,somethinc_resetgentlemicellarcleansingwater,"Anti-acne: Zinc Gluconate
Antioxidant: Calendula Officinalis Flower Extract, Tocopherol
Skin-identical ingredient: Glycerin
Soothing: Calendula Officinalis Flower Extract, Aloe Barbadensis Leaf Extract, Panthenol, Allantoin, Zinc Gluconate, Copper Gluconate","Water, PEG-6 Caprylic/​Capric Glycerides, Propanediol, Dipropylene Glycol, Glycerin, Pentylene Glycol, Calendula Officinalis Flower Extract, Artemisia Vulgaris Extract, Aloe Barbadensis Leaf Extract, Panthenol, Caprylyl Glycol, Ethylhexylglycerin, Allantoin, Magnesium Aspartate, Zinc Gluconate, Sodium Citrate, Citric Acid, Sodium Phytate, 1,2-Hexanediol, Phenoxyethanol, Copper Gluconate, Butylene Glycol, Octanediol, Tocopherol","Vegan micellar water dengan surfaktan non-ionik yang tidak meresap ke dalam kulit & tidak menarik minyak alami sebum sehingga sangat nyaman untuk penggunaan sehari-hari, tanpa membuat kulit kering & mengikis lapisan pelindung kulit.",NA18211208373,Tidak,,b,a,"Membersihkan kotoran dan minyak wajah berlebih, Membersihkan makeup waterproof dan sunscreen, Menjaga hidrasi kulit dan skin barrier",g
Cleanser,Makeup Remover,Kering,Emina,Skin Buddy Micellar Water,https://image.femaledaily.com/dyn/210/images/prod-pics/ce46c50ff98163cc6a383f46636e4e7f.jpg,emina_skinbuddymicellarwater,"Antioxidant: Calendula Officinalis Flower Extract
Skin-identical ingredient: Glycerin, Sodium Hyaluronate
Soothing: Allantoin, Aloe Barbadensis (Aloe Vera) Leaf Extract, Calendula Officinalis Flower Extract","Aqua, Propanediol, PEG-6 Caprylic/​Capric Glycerides, Olive Oil PEG-7 Esters, Propylene Glycol, Mannitol, Phenoxyethanol, 1,2-Hexanediol, Xylitol, Allantoin, Glycerin, Aloe Barbadensis (Aloe Vera) Leaf Extract, Caprylhydroxamic Acid, Disodium EDTA, Biosaccharide Gum-2, Butylene Glycol, Calendula Officinalis Flower Extract, Sodium Hyaluronate, Potassium Sorbate, Sodium Benzoate",Micellar water yang dapat mengangkat make up dan kotoran tanpa perlu di bilas,NA18201203986,Ya,,b,a,"Mengangkat make up dan kotoran, menyegarkan kulit",e
Cleanser,Makeup Remover,Kering,The Originote,Hyalurose Micellar Water,https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1705899708357-,theoriginote_hyalurosemicellarwater,"Skin-identical ingredient: Glycerin, Hyaluronic Acid, Sodium Hyaluronate
Soothing: Allantoin","Water, Hexylene Glycol, Poloxamer 184, Decyl Glucoside, Glycerin, Disodium Cocoamphodiacetate, Allantoin, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol, Sodium Chloride, Citric Acid, Hyaluronic Acid, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Disodium EDTA, Sodium Citrate, Fragrance(Parfum), Butylene Glycol, Ethylhexylglycerin, Rosa Damascena Flower Water, Pentylene Glycol, 1,2-Hexanediol, Octanediol",Micellar water dengan kekuatan pembersihan yang baik untuk menghilangkan make up dan membersihkan kulit. Diperkaya dengan Rosa Damascena Flower Water yang memiliki sensasi unik dan menyegarkan.,NA18231208306,Ya,,b,a,"Membersihkan makeup dan kulit, melembapkan dan hidrasi kulit, menyegarkan kulit","b,e"
Cleanser,Cream & Lotion,Kering,Nivea,Intensive Moisture Body Lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1620281266_Intensive__800x800.jpg,nivea_intensivemoisturebodylotion,"Antioxidant: Tocopheryl Acetate, Persea Gratissima Oil, Vitis Vinifera Seed Oil
Skin-identical ingredient: Glycerin","Aqua, Alcohol Denat, C15-19 Alkane, Distarch Phosphate, Glycerin, Dimethicone, Glyceryl Stearate Citrate, Isopropyl Palmitate, Carbomer, Cetearyl Alcohol, Phenoxyethanol, Sodium Hydroxide, Tocopheryl Acetate, Glyceryl Glucoside, Persea Gratissima Oil, Vitis Vinifera Seed Oil, Parfum","Dengan pemakaian teratur, dapat merawat menjaga kelembaban kulit 48 jam, sehingga kulit terasa lembut, halus dan tidak lengket.",NA18210100479,Ya,,b,a,"Melembabkan, menutrisi kulit, melindungi dari sinar matahari, menghaluskan kulit.","b,c"
Cleanser,Cream & Lotion,Kering,Vaseline,Intensive Care Aloe Soothe Lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1661485072_68826578_6_800x800.jpg,vaseline_intensivecarealoesoothelotion,"Exfoliant: Lactic Acid
Skin-identical ingredient: Glycerin
Soothing: Aloe Barbadensis Leaf Juice Powder","Aqua, Glycerin, Stearic Acid, Palmitic Acid, Isopropyl Myristate, Paraffinum Liquidum, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Aloe Barbadensis Leaf Juice Powder, Cetyl Alcohol, Dimethicone, Disodium EDTA, Glyceryl Stearate, Glycol Stearate, Lactic Acid, Magnesium Aluminium Silicate, Methylparaben, Parfum, PEG-100 Stearate, Petrolatum, Phenoxyethanol, Propylparaben, Sodium Hydroxide, Stearamide Amp, Tapioca Starch, Xanthan Gum, Benzyl Alcohol, Benzyl Salicylate, Butylphenyl Methylpropional, Geraniol, Hexyl Cinnamal, Linalool",Body lotion memadukan tetesan mikro penyembuh Vaseline Jelly dengan Aloe Vera yang dikenal dapat menenangkan kulit.,NA18210110943,Ya,,b,a,"Menenangkan kulit kering dan dehidrasi, Melembabkan kulit",b
Cleanser,Cream & Lotion,Kering,Cetaphil,Daily Advance Ultra Hydrating Lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1616132267_1c70a6d3_8_800x800.jpeg,cetaphil_dailyadvanceultrahydratinglotion,"Antioxidant: Tocopheryl Acetate
Skin-identical ingredient: Glycerin, Sodium PCA
Soothing: Panthenol","Aqua, Glycerin, Hydrogenated Polyisobutene, Cetearyl Alcohol, Butyrospermum Parkii Butter, Cyclopentasiloxane, Macadamia Seed Oil, Tocopheryl Acetate, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Benzyl Alcohol, Ceteareth-20, Citric Acid, Dimethiconol, Farnesol, Panthenol, Phenoxyethanol, Sodium Hydroxide, Sodium PCA, Sodium Polyacrylate, Stearoxytrimethylsilane, Stearyl Alcohol","Cetaphil Daily Advance Ultra Hydrating Lotion adalah perawatan harian untuk kulit sensitif pada wajah & tubuh yang terbukti secara klinis mampu menghidrasi dan melindungi kulit kering selama 24 jam. Tidak berminyak, bebas pewangi, dan direkomendasikan oleh dokter kulit.","
NE11160101847",Ya,,b,a,"membantu meningkatkan ketahanan kulit sensitif, dapat melembapkan kulit selama 48 jam",b
Cleanser,Facial Wash,Kering,Cetaphil,Gentle Skin Cleanser,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1697426619_Cetaphil_g_800x800.png,cetaphil_gentleskincleanser,"Anti-acne: Niacinamide
Cell-communicating ingredient: Niacinamide
Skin brightening: Niacinamide
Skin-identical ingredient: Glycerin
Soothing: Panthenol","Water, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid",Pembersih lembut untuk kulit sensitif dan kering hingga normal.,NA17240700009,Ya,,b,a,"Membersihkan wajah dari kotoran, minyak, dan sisa make up, melembapkan kulit wajah, dan melindungi kulit dari tanda-tanda sensitivitas, seperti kekeringan, iritasi, kekasaran, dan kekencangan ",b
